model,feature_set,validation_split,train_mae,MAE,RMSE,R2,MAPE,train_rows,validation_rows,training_time_seconds,notes
hist_gradient_boosting_log1p,full,primary,95.19085931050371,118.82592862640394,636.6298947427955,0.8259655680549474,5.150421966504511,38477,9523,37.418,"log1p target, expm1 predictions"
hist_gradient_boosting,full,primary,115.09826996195996,129.6948776112223,633.680215715834,0.8275745295037341,6.010494587998357,38477,9523,31.562,HistGradientBoosting baseline
extra_trees,full,primary,104.28291014473989,142.8551989784914,654.3240765231244,0.8161570732592729,6.285503761472199,38477,9523,527.916,ExtraTrees bagged ensemble
ridge,full,primary,136.4831880654044,148.06200021702148,642.1963746628583,0.8229088645204672,8.134121509291976,38477,9523,7.829,Ridge on full engineered features
distance_equipment_linear,none,primary,166.11402909043514,155.68287358143323,642.6841404817665,0.8226397511783724,8.386791449813371,38477,9523,0.012,OLS on distance + equipment OHE
distance_linear,none,primary,198.778830167719,196.9501468558285,654.4156404400273,0.8161056169339608,9.876000269485036,38477,9523,0.015,OLS on distance
equipment_distance_rate,none,primary,233.61310554650342,229.09657316845033,670.6599545300177,0.8068628254206316,10.487418950668491,38477,9523,0.003,distance * equipment median RPM
equipment_median,none,primary,1121.8356501286482,1144.878537225664,1561.5925405548564,-0.047120290142508736,70.10157036571985,38477,9523,0.003,Per-equipment median
global_median,none,primary,1124.6219078930271,1148.923725716686,1569.4241791607556,-0.05764958163404699,70.14628198724384,38477,9523,0.001,Global median rate
extra_trees,full,sensitivity,107.74055398302716,146.41713702235282,672.4798691654188,0.8064489338751367,6.788588325518259,43147,4853,627.167,ExtraTrees bagged ensemble
ridge,full,sensitivity,137.3801725270584,148.92254781618885,657.6343791307917,0.8149001746522933,8.613808221866782,43147,4853,8.227,Ridge on full engineered features
hist_gradient_boosting,full,sensitivity,113.95757557633331,151.9931450540653,659.0305607437011,0.8141133930843125,7.068365067386126,43147,4853,31.22,HistGradientBoosting baseline
distance_equipment_linear,none,sensitivity,164.99651808780956,157.46688038639024,657.2109087750994,0.8151384804780729,8.904992103694337,43147,4853,0.015,OLS on distance + equipment OHE
distance_linear,none,sensitivity,199.45266314510062,192.7741904419588,668.2130277041988,0.8088972799553176,10.246491074429354,43147,4853,0.008,OLS on distance
equipment_distance_rate,none,sensitivity,233.33349329235423,231.30495570141687,683.8653433130296,0.7998395899450672,10.927255954373813,43147,4853,0.003,distance * equipment median RPM
equipment_median,none,sensitivity,1124.8668308341253,1140.2068431897796,1558.8151812229794,-0.039983011385025025,72.16242499886528,43147,4853,0.004,Per-equipment median
global_median,none,sensitivity,1127.4857313370571,1146.7937069853701,1567.9704854490194,-0.05223503666552376,72.51970849939616,43147,4853,0.001,Global median rate
