experiment,model,feature_set,target_transform,validation_split_primary,MAE_primary,RMSE_primary,R2_primary,MAPE_primary,training_time_seconds_primary,param_max_depth_primary,param_learning_rate_primary,param_max_iter_primary,param_random_state_primary,param_max_leaf_nodes_primary,param_min_samples_leaf_primary,param_l2_regularization_primary,validation_split_sensitivity,MAE_sensitivity,RMSE_sensitivity,R2_sensitivity,MAPE_sensitivity,training_time_seconds_sensitivity,param_max_depth_sensitivity,param_learning_rate_sensitivity,param_max_iter_sensitivity,param_random_state_sensitivity,param_max_leaf_nodes_sensitivity,param_min_samples_leaf_sensitivity,param_l2_regularization_sensitivity,stability_gap,combined_score
log_target,histgb_log1p,FULL,log1p,primary,118.82592862640394,636.6298947427955,0.8259655680549474,5.150421966504511,36.861,8.0,0.08,300.0,42.0,,,,sensitivity,115.45413712129131,648.2970853596921,0.8201190677388939,5.51139389658922,41.788,8.0,0.08,300.0,42.0,,,,-3.3717915051126255,118.82592862640394
feature_set,histgb,Q,normal,primary,118.94773439232291,632.029615829459,0.8284716217187921,5.5719489228631405,0.335,8.0,0.08,300.0,42.0,,,,sensitivity,123.91312150627193,650.6393158192922,0.8188169372628903,6.176965000712518,0.373,8.0,0.08,300.0,42.0,,,,4.965387113949021,121.43042794929742
market_index,histgb,C_Q,normal,primary,118.90142608827263,630.9687486990057,0.8290469621642195,5.463748474071953,0.356,,,,,,,,sensitivity,124.54391266535968,650.556405255635,0.8188631104109618,6.315757715926866,0.332,,,,,,,,5.642486577087055,121.72266937681616
histgb_tuning,histgb,C4,normal,primary,126.58331544403356,634.0334229707883,0.8273822593375479,5.901356531468189,0.332,6.0,0.08,300.0,42.0,,,0.1,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,0.8547958680600374,127.01071337806357
histgb_tuning,histgb,C4,normal,primary,126.58331544403356,634.0334229707883,0.8273822593375479,5.901356531468189,0.332,6.0,0.08,300.0,42.0,,,0.1,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,1.3675839437705122,127.26710741591882
histgb_tuning,histgb,C4,normal,primary,126.58331544403356,634.0334229707883,0.8273822593375479,5.901356531468189,0.332,6.0,0.08,300.0,42.0,,,0.1,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,1.5449008017795904,127.35576584492335
histgb_tuning,histgb,C4,normal,primary,127.42214862560608,632.9207075130149,0.8279876087656911,6.042346030645971,0.319,8.0,0.08,300.0,42.0,,50.0,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,0.0159626864875122,127.43012996884984
histgb_tuning,histgb,C4,normal,primary,127.45965286092577,633.5575757572409,0.8276412641303066,5.899926702515327,0.339,6.0,0.08,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.021541548832175295,127.45965286092577
histgb_tuning,histgb,C4,normal,primary,127.49124522899362,633.7848067273459,0.827517606020183,5.832547607120926,0.405,6.0,0.06,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.05313391690002334,127.49124522899362
feature_set,histgb,G,normal,primary,127.43500445993863,633.7684159182645,0.8275265273114552,6.040506481964067,25.446,8.0,0.08,300.0,42.0,,,,sensitivity,127.61960668382544,652.545269500013,0.8177538834051516,6.589302802174942,26.617,8.0,0.08,300.0,42.0,,,,0.18460222388681302,127.52730557188204
histgb_tuning,histgb,C4,normal,primary,127.42214862560608,632.9207075130149,0.8279876087656911,6.042346030645971,0.319,8.0,0.08,300.0,42.0,,50.0,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,0.528750762197987,127.68652400670507
histgb_tuning,histgb,C4,normal,primary,127.45965286092577,633.5575757572409,0.8276412641303066,5.899926702515327,0.339,6.0,0.08,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,0.4912465268782995,127.70527612436493
histgb_tuning,histgb,C4,normal,primary,127.49124522899362,633.7848067273459,0.827517606020183,5.832547607120926,0.405,6.0,0.06,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,0.45965415881045146,127.72107230839885
histgb_tuning,histgb,C4,normal,primary,127.42214862560608,632.9207075130149,0.8279876087656911,6.042346030645971,0.319,8.0,0.08,300.0,42.0,,50.0,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,0.7060676202070653,127.77518243570961
histgb_tuning,histgb,C4,normal,primary,127.45965286092577,633.5575757572409,0.8276412641303066,5.899926702515327,0.339,6.0,0.08,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,0.6685633848873778,127.79393455336947
histgb_tuning,histgb,C4,normal,primary,127.49124522899362,633.7848067273459,0.827517606020183,5.832547607120926,0.405,6.0,0.06,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,0.6369710168195297,127.80973073740338
histgb_tuning,histgb,C4,normal,primary,127.83795935504604,633.637400503718,0.8275978289014738,6.064938311555896,0.319,8.0,0.08,300.0,42.0,,,1.0,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.39984804295244203,127.83795935504604
histgb_tuning,histgb,C4,normal,primary,127.83795935504604,633.637400503718,0.8275978289014738,6.064938311555896,0.319,8.0,0.08,300.0,42.0,,,1.0,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,0.11294003275803277,127.89442937142505
histgb_tuning,histgb,C4,normal,primary,127.9341202050895,633.5015151598194,0.8276717652452069,6.074285595033467,0.379,8.0,0.06,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.4960088929959028,127.9341202050895
histgb_tuning,histgb,C4,normal,primary,127.9341202050895,633.5015151598194,0.8276717652452069,6.074285595033467,0.379,8.0,0.06,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,0.016779182714572016,127.94250979644679
histgb_tuning,histgb,C4,normal,primary,127.83795935504604,633.637400503718,0.8275978289014738,6.064938311555896,0.319,8.0,0.08,300.0,42.0,,,1.0,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,0.29025689076711103,127.98308780042959
histgb_tuning,histgb,C4,normal,primary,127.9341202050895,633.5015151598194,0.8276717652452069,6.074285595033467,0.379,8.0,0.06,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,0.19409604072365028,128.03116822545132
histgb_tuning,histgb,C4,normal,primary,128.2541602437195,634.1216882453364,0.8273341949540326,6.121476508065544,0.315,10.0,0.08,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.8160489316259003,128.2541602437195
histgb_tuning,histgb,C4,normal,primary,128.2541602437195,634.1216882453364,0.8273341949540326,6.121476508065544,0.315,10.0,0.08,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.12594399790634725,128.2541602437195
histgb_tuning,histgb,C4,normal,primary,128.2541602437195,634.1216882453364,0.8273341949540326,6.121476508065544,0.315,10.0,0.08,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.3032608559154255,128.2541602437195
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.3,8.0,0.1,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.9094007000782796,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.304,8.0,0.1,400.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.2192957663587265,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.3,8.0,0.1,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.39661262436780476,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.304,8.0,0.1,400.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-0.9094007000782796,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.304,8.0,0.1,400.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.39661262436780476,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.3,8.0,0.1,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.2192957663587265,128.34751201217188
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.295,8.0,0.08,300.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-1.2760173617056836,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.295,8.0,0.08,300.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.5859124279861305,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,250.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-1.2760173617056836,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,250.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.5859124279861305,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.295,8.0,0.08,300.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.7632292859952088,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.322,8.0,0.08,400.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.7632292859952088,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,300.0,42.0,,20.0,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-1.2760173617056836,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.322,8.0,0.08,400.0,42.0,,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-1.2760173617056836,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.322,8.0,0.08,400.0,42.0,,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.5859124279861305,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,300.0,42.0,,20.0,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.5859124279861305,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,300.0,42.0,,20.0,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.7632292859952088,128.71412867379928
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8.0,0.08,250.0,42.0,,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.7632292859952088,128.71412867379928
feature_set,histgb,C,normal,primary,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,0.296,8.0,0.08,300.0,42.0,,,,sensitivity,129.49357101770292,650.4313123701895,0.8189327638875804,6.5432578765047404,0.324,8.0,0.08,300.0,42.0,,,,1.3662704108958792,128.81043581225498
feature_set,histgb,C2,normal,primary,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,0.304,8.0,0.08,300.0,42.0,,,,sensitivity,129.49357101770292,650.4313123701895,0.8189327638875804,6.5432578765047404,0.316,8.0,0.08,300.0,42.0,,,,1.3662704108958792,128.81043581225498
market_index,histgb,C,normal,primary,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,0.305,,,,,,,,sensitivity,129.49357101770292,650.4313123701895,0.8189327638875804,6.5432578765047404,0.318,,,,,,,,1.3662704108958792,128.81043581225498
histgb_tuning,histgb,C4,normal,primary,128.92568767198628,634.0284645629728,0.8273849592135374,6.190178244047601,0.328,8.0,0.08,300.0,42.0,,,0.1,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-1.4875763598926852,128.92568767198628
histgb_tuning,histgb,C4,normal,primary,128.92568767198628,634.0284645629728,0.8273849592135374,6.190178244047601,0.328,8.0,0.08,300.0,42.0,,,0.1,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-0.7974714261731322,128.92568767198628
