experiment,model,feature_set,target_transform,validation_split,MAE,RMSE,R2,MAPE,training_time_seconds,param_max_depth,param_learning_rate,param_max_iter,param_random_state,param_max_leaf_nodes,param_min_samples_leaf,param_l2_regularization
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.295,8,0.08,300,42,,,
histgb_tuning,histgb,C4,normal,primary,127.9341202050895,633.5015151598194,0.8276717652452069,6.074285595033467,0.379,8,0.06,300,42,,,
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.3,8,0.1,300,42,,,
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8,0.08,250,42,,,
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.322,8,0.08,400,42,,,
histgb_tuning,histgb,C4,normal,primary,127.45965286092577,633.5575757572409,0.8276412641303066,5.899926702515327,0.339,6,0.08,300,42,,,
histgb_tuning,histgb,C4,normal,primary,128.2541602437195,634.1216882453364,0.8273341949540326,6.121476508065544,0.315,10,0.08,300,42,,,
histgb_tuning,histgb,C4,normal,primary,133.70784284288194,634.8346145917886,0.8269457294536229,6.127967768637956,0.424,8,0.08,300,42,63.0,,
histgb_tuning,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.312,8,0.08,300,42,,20.0,
histgb_tuning,histgb,C4,normal,primary,127.42214862560608,632.9207075130149,0.8279876087656911,6.042346030645971,0.319,8,0.08,300,42,,50.0,
histgb_tuning,histgb,C4,normal,primary,128.92568767198628,634.0284645629728,0.8273849592135374,6.190178244047601,0.328,8,0.08,300,42,,,0.1
histgb_tuning,histgb,C4,normal,primary,127.83795935504604,633.637400503718,0.8275978289014738,6.064938311555896,0.319,8,0.08,300,42,,,1.0
histgb_tuning,histgb,C4,normal,primary,127.49124522899362,633.7848067273459,0.827517606020183,5.832547607120926,0.405,6,0.06,300,42,,,
histgb_tuning,histgb,C4,normal,primary,128.34751201217188,633.6081825964293,0.8276137279456611,6.110022252367379,0.304,8,0.1,400,42,,,
histgb_tuning,histgb,C4,normal,primary,126.58331544403356,634.0334229707883,0.8273822593375479,5.901356531468189,0.332,6,0.08,300,42,,,0.1
histgb_tuning,histgb,C4,normal,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6,0.08,300,42,,,0.1
histgb_tuning,histgb,C4,normal,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8,0.08,300,42,,50.0,
histgb_tuning,histgb,C4,normal,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6,0.08,300,42,,,
