experiment,segment_dimension,segment,count,MAE,mean_actual,mean_predicted,mean_residual,median_abs_error,model,validation_split
histgb_C4,distance_bucket,0-300,780,48.567901046920056,551.829141025641,582.4630039290269,-30.63386290338581,35.829421472617696,histgb_C4,primary
histgb_C4,distance_bucket,300-600,1944,71.93251697757054,1092.5085185185185,1084.403955816267,8.104562702251679,35.24526830398793,histgb_C4,primary
histgb_C4,distance_bucket,600-1200,3202,104.69656559732971,1930.1019643972518,1928.870938356641,1.2310260406105873,54.98826511290099,histgb_C4,primary
histgb_C4,distance_bucket,1200-2000,2063,175.51535234159675,3275.84811924382,3218.776004046375,57.07211519744458,68.15942011119796,histgb_C4,primary
histgb_C4,distance_bucket,2000+,1534,228.6168817576479,4752.789119947849,4685.997854160096,66.79126578775306,110.62904663476957,histgb_C4,primary
histgb_C4,equipment,Dry Van,5360,126.19784498360004,2281.166074626866,2261.7344369699613,19.43163765690444,49.992305992855705,histgb_C4,primary
histgb_C4,equipment,Flatbed,1770,126.29326284491397,2439.9451355932206,2423.9799921956746,15.965143397546319,62.03862076679479,histgb_C4,primary
histgb_C4,equipment,Reefer,2393,136.14087881863628,2606.5816590054324,2571.6513222203725,34.93033678505978,57.28504293819242,histgb_C4,primary
histgb_C4,month,9,4670,126.68037988569196,2406.374012847966,2386.703123934955,19.670888913011243,56.253819561651426,histgb_C4,primary
histgb_C4,month,10,4853,130.671187573544,2379.051374407583,2353.471912969802,25.57946143778082,51.620855957327876,histgb_C4,primary
histgb_C4,weight_status,missing_or_negative,124,120.25481581056371,2392.441451612903,2408.859939505879,-16.418487892975318,61.54200010184411,histgb_C4,primary
histgb_C4,weight_status,present,9399,128.82573148208112,2392.4502840727737,2369.25248961804,23.19779445473367,53.41857621615816,histgb_C4,primary
histgb_C4,market_index_regime,low,3150,120.2813177618642,2352.9895269841268,2358.4212152054192,-5.43168822129234,56.619541029715606,histgb_C4,primary
histgb_C4,market_index_regime,mid,3150,129.56864312898105,2399.003984126984,2378.9946984301287,20.00928569685558,52.24688695245072,histgb_C4,primary
histgb_C4,market_index_regime,high,3150,136.47999870869558,2423.0128349206348,2367.4171448655966,55.59569005503859,51.97271210284586,histgb_C4,primary
histgb_C4,distance_bucket,0-300,403,46.94159860467619,538.3086848635236,560.5600549696127,-22.251370106089077,28.52688985077367,histgb_C4,sensitivity
histgb_C4,distance_bucket,300-600,994,70.09532301133001,1091.173601609658,1077.198351454372,13.975250155285819,32.289192672352385,histgb_C4,sensitivity
histgb_C4,distance_bucket,600-1200,1646,106.64389685972029,1939.0228493317131,1921.7140138957338,17.30883543597938,48.838661381349766,histgb_C4,sensitivity
histgb_C4,distance_bucket,1200-2000,1041,160.44571238417691,3260.6579923150816,3222.8221382012125,37.8358541138687,67.1991428103097,histgb_C4,sensitivity
histgb_C4,distance_bucket,2000+,769,255.03372568856608,4756.820260078023,4700.79525047853,56.02500959949279,107.86293439653764,histgb_C4,sensitivity
histgb_C4,equipment,Dry Van,2745,120.58632270333126,2240.1642404371582,2217.083245485618,23.08099495154051,45.695570141252915,histgb_C4,sensitivity
histgb_C4,equipment,Flatbed,918,132.1152974551165,2429.6794880174293,2426.189332860412,3.4901551570168134,55.059354412754374,histgb_C4,sensitivity
histgb_C4,equipment,Reefer,1190,147.0434389109583,2660.3695042016807,2618.9211827162612,41.448321485419655,55.11667667508095,histgb_C4,sensitivity
histgb_C4,month,10,4853,129.254686006281,2379.051374407583,2355.172372523435,23.879001884147854,49.54734377134605,histgb_C4,sensitivity
histgb_C4,weight_status,missing_or_negative,65,105.26985058489598,2307.666307692308,2340.004889484491,-32.33858179218321,55.92491051463821,histgb_C4,sensitivity
histgb_C4,weight_status,present,4788,129.58029467428224,2380.020469924812,2355.378280292343,24.64218963246897,49.45530580351044,histgb_C4,sensitivity
histgb_C4,market_index_regime,low,1604,122.47188778999313,2296.6775872817957,2303.27317469489,-6.595587413093929,49.83713381463974,histgb_C4,sensitivity
histgb_C4,market_index_regime,mid,1603,118.94619945503621,2392.5843543356204,2382.594436419193,9.989917916428164,49.44326976996922,histgb_C4,sensitivity
histgb_C4,market_index_regime,high,1604,146.10007304255893,2440.173167082294,2369.03050964156,71.14265744073403,49.02987058479283,histgb_C4,sensitivity
histgb_FULL,distance_bucket,0-300,780,47.81944983352759,551.829141025641,581.8824063040145,-30.05326527837338,31.864501968805143,histgb_FULL,primary
histgb_FULL,distance_bucket,300-600,1944,63.99020921987456,1092.5085185185185,1070.1387007084381,22.369817810080484,26.77216427013832,histgb_FULL,primary
histgb_FULL,distance_bucket,600-1200,3202,93.46683680304375,1930.1019643972518,1905.4873332377624,24.61463115948908,43.8248755739354,histgb_FULL,primary
histgb_FULL,distance_bucket,1200-2000,2063,181.14690859456653,3275.84811924382,3207.0194611765264,68.82865806729303,70.66344266331998,histgb_FULL,primary
histgb_FULL,distance_bucket,2000+,1534,261.0177953221287,4752.789119947849,4671.511228432788,81.27789151506099,135.31330107394797,histgb_FULL,primary
histgb_FULL,equipment,Dry Van,5360,125.00362648787181,2281.166074626866,2254.134668721609,27.031405905256474,43.176248711278504,histgb_FULL,primary
histgb_FULL,equipment,Flatbed,1770,122.15599897356051,2439.9451355932206,2401.878112708285,38.06702288493548,50.024608769146084,histgb_FULL,primary
histgb_FULL,equipment,Reefer,2393,145.77883967132257,2606.5816590054324,2542.5330719194453,64.0485870859874,56.920466889254385,histgb_FULL,primary
histgb_FULL,month,9,4670,127.19215082520172,2406.374012847966,2363.5036274083345,42.870385439631086,48.239171808229,histgb_FULL,primary
histgb_FULL,month,10,4853,132.10322998928046,2379.051374407583,2344.983677096188,34.06769731139525,46.076416754920956,histgb_FULL,primary
histgb_FULL,weight_status,missing_or_negative,124,101.39688352031519,2392.441451612903,2372.8267916868704,19.61465992603238,51.33540011761488,histgb_FULL,primary
histgb_FULL,weight_status,present,9399,130.0682100154432,2392.4502840727737,2353.8181937201352,38.63209035263862,47.256464216016866,histgb_FULL,primary
histgb_FULL,market_index_regime,low,3150,118.26107662616784,2352.9895269841268,2333.473413648121,19.516113336005798,47.442333295223364,histgb_FULL,primary
histgb_FULL,market_index_regime,mid,3150,129.71188845141742,2399.003984126984,2347.5431800745155,51.460804052468795,46.36382600924526,histgb_FULL,primary
histgb_FULL,market_index_regime,high,3150,140.89632880274823,2423.0128349206348,2375.105440480442,47.907394440192796,48.08431018736076,histgb_FULL,primary
histgb_FULL,distance_bucket,0-300,403,52.83661552377502,538.3086848635236,570.4052239884297,-32.09653912490616,30.070763117410365,histgb_FULL,sensitivity
histgb_FULL,distance_bucket,300-600,994,64.35789364524084,1091.173601609658,1074.5057989959473,16.667802613710432,27.452182590296673,histgb_FULL,sensitivity
histgb_FULL,distance_bucket,600-1200,1646,101.5984920766752,1939.0228493317131,1901.340445210102,37.682404121611434,42.7383763009974,histgb_FULL,sensitivity
histgb_FULL,distance_bucket,1200-2000,1041,221.95602255391958,3260.6579923150816,3330.4176691993257,-69.75967688424376,93.56927941095955,histgb_FULL,sensitivity
histgb_FULL,distance_bucket,2000+,769,330.39075834992263,4756.820260078023,4831.950578794487,-75.1303187164641,166.1677591250782,histgb_FULL,sensitivity
histgb_FULL,equipment,Dry Van,2745,146.53141170970724,2240.1642404371582,2264.5357505706374,-24.371510133478907,45.90896526136021,histgb_FULL,sensitivity
histgb_FULL,equipment,Flatbed,918,147.99421384122442,2429.6794880174293,2457.2197355498765,-27.540247532447516,48.007497300674004,histgb_FULL,sensitivity
histgb_FULL,equipment,Reefer,1190,167.67673907393996,2660.3695042016807,2637.3066205574864,23.06288364419428,57.76161863476739,histgb_FULL,sensitivity
histgb_FULL,month,10,4853,151.9931450540653,2379.051374407583,2392.3909398340397,-13.33956542645688,49.25569747016016,histgb_FULL,sensitivity
histgb_FULL,weight_status,missing_or_negative,65,105.1392576767095,2307.666307692308,2361.8054708268323,-54.13916313452457,48.99069722652757,histgb_FULL,sensitivity
histgb_FULL,weight_status,present,4788,152.62921495371612,2380.020469924812,2392.8061561008462,-12.785686176034073,49.258420386922694,histgb_FULL,sensitivity
histgb_FULL,market_index_regime,low,1604,128.63409902907352,2296.6775872817957,2308.5309105368433,-11.853323255048064,46.40238351201947,histgb_FULL,sensitivity
histgb_FULL,market_index_regime,mid,1603,135.1390835950612,2392.5843543356204,2407.02157873766,-14.437224402039563,47.9599804543177,histgb_FULL,sensitivity
histgb_FULL,market_index_regime,high,1604,190.8947975392845,2440.173167082294,2449.6709952720835,-9.497828189789061,53.945441553830506,histgb_FULL,sensitivity
histgb_C4_log1p,distance_bucket,0-300,780,31.26926650081994,551.829141025641,547.1366018535374,4.6925391721036345,18.26597432225492,histgb_C4_log1p,primary
histgb_C4_log1p,distance_bucket,300-600,1944,69.01808739219445,1092.5085185185185,1060.1869827685089,32.32153575000954,31.154137311821444,histgb_C4_log1p,primary
histgb_C4_log1p,distance_bucket,600-1200,3202,100.68708600126895,1930.1019643972518,1896.9703569590035,33.131607438248174,51.17591939644683,histgb_C4_log1p,primary
histgb_C4_log1p,distance_bucket,1200-2000,2063,169.07846766419738,3275.84811924382,3183.3905443360336,92.457574907786,64.24151670638184,histgb_C4_log1p,primary
histgb_C4_log1p,distance_bucket,2000+,1534,215.84797876497387,4752.789119947849,4637.625241034063,115.16387891378591,103.97273709401861,histgb_C4_log1p,primary
