config_name,feature_set,target_transform,validation_split,distance_bucket,count,mae,mean_actual,mean_predicted,mean_residual
log1p_Q,Q,log1p,primary,0-300,780,26.75499143824784,551.829141025641,551.6072049326893,0.22193609295161015
log1p_Q,Q,log1p,primary,300-600,1944,55.089570368441414,1092.5085185185185,1065.5170453855128,26.99147313300581
log1p_Q,Q,log1p,primary,600-1200,3202,87.31826575312142,1930.1019643972518,1902.005162488471,28.096801908781046
log1p_Q,Q,log1p,primary,1200-2000,2063,154.74610279449078,3275.84811924382,3196.721255124835,79.12686411898493
log1p_Q,Q,log1p,primary,2000+,1534,190.04975318216407,4752.789119947849,4663.210748528005,89.5783714198437
log1p_Q,Q,log1p,sensitivity,0-300,403,32.76909955922256,538.3086848635236,540.9160375692452,-2.6073527057216404
log1p_Q,Q,log1p,sensitivity,300-600,994,57.66315519583839,1091.173601609658,1061.1506700004154,30.022931609242512
log1p_Q,Q,log1p,sensitivity,600-1200,1646,99.473341908971,1939.0228493317131,1893.344764501628,45.67808483008485
log1p_Q,Q,log1p,sensitivity,1200-2000,1041,146.62867400970575,3260.6579923150816,3209.760143706162,50.897848608919354
log1p_Q,Q,log1p,sensitivity,2000+,769,215.48858104655926,4756.820260078023,4677.555395065179,79.2648650128445
log1p_FULL,FULL,log1p,primary,0-300,780,25.529489461915738,551.829141025641,548.5322577271625,3.2968832984786
log1p_FULL,FULL,log1p,primary,300-600,1944,58.100512697462975,1092.5085185185185,1056.0672953603585,36.44122315816006
log1p_FULL,FULL,log1p,primary,600-1200,3202,95.73044086264476,1930.1019643972518,1872.7501067644316,57.351857632819964
log1p_FULL,FULL,log1p,primary,1200-2000,2063,167.89329871141013,3275.84811924382,3158.882310353128,116.96580889069156
log1p_FULL,FULL,log1p,primary,2000+,1534,225.44079071789744,4752.789119947849,4591.5586289651155,161.23049098273285
log1p_FULL,FULL,log1p,sensitivity,0-300,403,33.402441214201204,538.3086848635236,542.2288459417558,-3.9201610782322773
log1p_FULL,FULL,log1p,sensitivity,300-600,994,58.68349628159103,1091.173601609658,1071.2299297120712,19.94367189758659
log1p_FULL,FULL,log1p,sensitivity,600-1200,1646,99.06059540680026,1939.0228493317131,1907.2734208259028,31.749428505810496
log1p_FULL,FULL,log1p,sensitivity,1200-2000,1041,149.43005033997275,3260.6579923150816,3252.735479229307,7.922513085774868
log1p_FULL,FULL,log1p,sensitivity,2000+,769,220.93098295565315,4756.820260078023,4712.635952074847,44.18430800317572
normal_Q,Q,normal,primary,0-300,780,38.67363564079502,551.829141025641,569.6311850817286,-17.802044056087496
normal_Q,Q,normal,primary,300-600,1944,62.75495846380864,1092.5085185185185,1079.6440015722908,12.864516946227676
normal_Q,Q,normal,primary,600-1200,3202,94.50378547887689,1930.1019643972518,1928.6761836661149,1.425780731137097
normal_Q,Q,normal,primary,1200-2000,2063,171.70018720656773,3275.84811924382,3234.7654262113574,41.08269303246229
normal_Q,Q,normal,primary,2000+,1534,211.05579677582406,4752.789119947849,4717.905873312364,34.88324663548535
normal_Q,Q,normal,sensitivity,0-300,403,48.27973731194795,538.3086848635236,562.7932142055831,-24.484529342059584
normal_Q,Q,normal,sensitivity,300-600,994,65.1287147965247,1091.173601609658,1077.3859731131884,13.787628496469418
normal_Q,Q,normal,sensitivity,600-1200,1646,98.97942578781077,1939.0228493317131,1917.0686454586544,21.954203873058955
normal_Q,Q,normal,sensitivity,1200-2000,1041,167.63001071258623,3260.6579923150816,3255.034431475715,5.623560839366369
normal_Q,Q,normal,sensitivity,2000+,769,233.72266063320967,4756.820260078023,4729.65628822666,27.163971851364376
normal_C4,C4,normal,primary,0-300,780,48.567901046920056,551.829141025641,582.4630039290269,-30.63386290338581
normal_C4,C4,normal,primary,300-600,1944,71.93251697757054,1092.5085185185185,1084.403955816267,8.104562702251679
normal_C4,C4,normal,primary,600-1200,3202,104.69656559732971,1930.1019643972518,1928.870938356641,1.2310260406105873
normal_C4,C4,normal,primary,1200-2000,2063,175.51535234159675,3275.84811924382,3218.776004046375,57.07211519744458
normal_C4,C4,normal,primary,2000+,1534,228.6168817576479,4752.789119947849,4685.997854160096,66.79126578775306
normal_C4,C4,normal,sensitivity,0-300,403,46.94159860467619,538.3086848635236,560.5600549696127,-22.251370106089077
normal_C4,C4,normal,sensitivity,300-600,994,70.09532301133001,1091.173601609658,1077.198351454372,13.975250155285819
normal_C4,C4,normal,sensitivity,600-1200,1646,106.64389685972029,1939.0228493317131,1921.7140138957338,17.30883543597938
normal_C4,C4,normal,sensitivity,1200-2000,1041,160.44571238417691,3260.6579923150816,3222.8221382012125,37.8358541138687
normal_C4,C4,normal,sensitivity,2000+,769,255.03372568856608,4756.820260078023,4700.79525047853,56.02500959949279
log1p_Q_d6_l20.1,Q,log1p,primary,0-300,780,26.74001394847686,551.829141025641,552.0567867834782,-0.22764575783706958
log1p_Q_d6_l20.1,Q,log1p,primary,300-600,1944,55.20046721422284,1092.5085185185185,1066.251765479299,26.25675303921959
log1p_Q_d6_l20.1,Q,log1p,primary,600-1200,3202,87.61681591190982,1930.1019643972518,1902.3966058933497,27.705358503902087
log1p_Q_d6_l20.1,Q,log1p,primary,1200-2000,2063,154.85209048211263,3275.84811924382,3194.260297842675,81.58782140114498
log1p_Q_d6_l20.1,Q,log1p,primary,2000+,1534,188.52789542243028,4752.789119947849,4658.672382299086,94.11673764876222
log1p_Q_d6_l20.1,Q,log1p,sensitivity,0-300,403,32.59053573447691,538.3086848635236,541.5671283671717,-3.258443503648112
log1p_Q_d6_l20.1,Q,log1p,sensitivity,300-600,994,57.47309060699491,1091.173601609658,1060.653206303165,30.520395306492876
log1p_Q_d6_l20.1,Q,log1p,sensitivity,600-1200,1646,100.49312932390389,1939.0228493317131,1893.1902919594602,45.83255737225285
log1p_Q_d6_l20.1,Q,log1p,sensitivity,1200-2000,1041,144.11357020129677,3260.6579923150816,3210.066636859379,50.59135545570271
log1p_Q_d6_l20.1,Q,log1p,sensitivity,2000+,769,213.38218145074734,4756.820260078023,4681.55443818899,75.26582188903359
log1p_Q_d8_l20.1,Q,log1p,primary,0-300,780,26.81526165209439,551.829141025641,551.834850079339,-0.00570905369799197
log1p_Q_d8_l20.1,Q,log1p,primary,300-600,1944,54.93199910613236,1092.5085185185185,1065.6713308564679,26.837187662050738
log1p_Q_d8_l20.1,Q,log1p,primary,600-1200,3202,87.42523723594783,1930.1019643972518,1902.954753355519,27.14721104173276
log1p_Q_d8_l20.1,Q,log1p,primary,1200-2000,2063,154.41096749677524,3275.84811924382,3197.090856949828,78.75726229399176
