pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,841.4774146361318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,841.4774146361318
